"V3","V4","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
45.178223,37.866211,-50.790405,-14.752197,-16.891479,29.928589,25.888062,-10.202026,-54.766846,-12.536621,14.456177,-3.451538
45.178223,37.866211,-53.491211,-14.752197,-16.891479,29.434204,25.942993,-10.202026,-46.405029,-12.536621,13.400269,-3.451538
45.178223,37.866211,-53.491211,-14.752197,-20.306396,29.434204,25.942993,-13.183594,-46.405029,8.666992,13.400269,-3.451538
45.178223,37.866211,-53.491211,-17.687988,-20.306396,29.434204,25.942993,-13.183594,-46.405029,8.666992,13.400269,-6.552124
55.523682,33.972168,-57.18689,-17.687988,-20.306396,29.470825,25.689697,-13.183594,-31.87561,8.666992,13.400269,-6.552124
55.523682,33.972168,-57.18689,-17.687988,-23.48938,29.470825,25.689697,-13.183594,-31.87561,27.035522,13.293457,-6.552124
55.523682,33.972168,-57.18689,-20.544434,-23.48938,29.470825,25.689697,-16.235352,-31.87561,27.035522,13.293457,-9.533691
60.101318,30.401611,-61.694336,-20.544434,-23.48938,29.632568,25.045776,-16.235352,-13.238525,27.035522,13.293457,-9.533691
60.101318,30.401611,-61.694336,-20.544434,-26.419067,29.632568,25.045776,-16.235352,-13.238525,40.917969,13.705444,-9.533691
60.101318,30.401611,-61.694336,-23.31543,-26.419067,29.632568,25.045776,-19.454956,-13.238525,40.917969,13.705444,-12.380981
60.678101,27.490234,-65.710449,-23.31543,-26.419067,29.626465,25.045776,-19.454956,6.396484,40.917969,13.705444,-12.380981
60.678101,27.490234,-65.710449,-23.31543,-29.251099,29.626465,24.276733,-19.454956,6.396484,50.119019,14.273071,-12.380981
60.678101,27.490234,-65.710449,-23.31543,-29.251099,29.626465,24.276733,-22.665405,6.396484,50.119019,14.273071,-15.237427
59.216309,25.466919,-66.97998,-25.900269,-29.251099,29.626465,24.276733,-22.665405,6.396484,50.119019,14.273071,-15.237427
59.216309,25.466919,-66.97998,-25.900269,-29.251099,29.263306,23.452759,-22.665405,23.721313,55.459595,14.535522,-15.237427
59.216309,25.466919,-66.97998,-25.900269,-32.342529,29.263306,23.452759,-25.836182,23.721313,55.459595,14.535522,-15.237427
56.988525,24.420166,-66.97998,-28.24707,-32.342529,29.263306,23.452759,-25.836182,23.721313,55.459595,14.535522,-18.231201
56.988525,24.420166,-63.156128,-28.24707,-32.342529,28.594971,22.601318,-25.836182,36.660767,55.459595,14.367676,-18.231201
56.988525,24.420166,-63.156128,-28.24707,-35.86731,28.594971,22.601318,-28.820801,36.660767,58.178711,14.367676,-18.231201
56.988525,24.420166,-63.156128,-30.255127,-35.86731,28.594971,22.601318,-28.820801,36.660767,58.178711,14.367676,-21.414185
54.412842,24.151611,-52.780151,-30.255127,-35.86731,27.679443,21.405029,-28.820801,44.644165,58.178711,14.367676,-21.414185
54.412842,24.151611,-52.780151,-30.255127,-39.724731,27.679443,21.405029,-28.820801,44.644165,59.295654,13.656616,-21.414185
54.412842,24.151611,-52.780151,-32.037354,-39.724731,27.679443,21.405029,-31.793213,44.644165,59.295654,13.656616,-24.624634
51.2146,24.319458,-36.199951,-32.037354,-39.724731,26.577759,19.747925,-31.793213,48.690796,59.295654,13.656616,-24.624634
51.2146,24.319458,-36.199951,-32.037354,-43.490601,26.577759,19.747925,-31.793213,48.690796,59.448242,12.493896,-24.624634
51.2146,24.319458,-36.199951,-33.71582,-43.490601,26.577759,19.747925,-34.796143,48.690796,59.448242,12.493896,-27.685547
47.055054,24.42627,-15.524292,-33.71582,-43.490601,25.222778,19.747925,-34.796143,50.323486,59.448242,12.493896,-27.685547
47.055054,24.42627,-15.524292,-33.71582,-46.743774,25.222778,17.526245,-34.796143,50.323486,58.856201,10.86731,-27.685547
47.055054,24.42627,-15.524292,-33.71582,-46.743774,25.222778,17.526245,-38.067627,50.323486,58.856201,10.86731,-30.447388
41.818237,24.145508,5.966187,-35.488892,-46.743774,23.529053,17.526245,-38.067627,50.323486,58.856201,10.86731,-30.447388
41.818237,24.145508,5.966187,-35.488892,-46.743774,23.529053,15.057373,-38.067627,51.05896,57.647705,8.862305,-30.447388
41.818237,24.145508,5.966187,-35.488892,-49.353027,23.529053,15.057373,-41.439819,51.05896,57.647705,8.862305,-30.447388
35.830688,23.291016,5.966187,-37.384033,-49.353027,23.529053,15.057373,-41.439819,51.05896,57.647705,8.862305,-33.050537
35.830688,23.291016,25.064087,-37.384033,-49.353027,21.420288,12.564087,-41.439819,51.568604,57.647705,6.451416,-33.050537
35.830688,23.291016,25.064087,-37.384033,-51.751709,21.420288,12.564087,-44.772339,51.568604,55.9021,6.451416,-33.050537
35.830688,23.291016,25.064087,-39.334106,-51.751709,21.420288,12.564087,-44.772339,51.568604,55.9021,6.451416,-35.775757
29.650879,21.942139,39.614868,-39.334106,-51.751709,18.994141,10.284424,-44.772339,51.983643,55.9021,6.451416,-35.775757
29.650879,21.942139,39.614868,-39.334106,-54.602051,18.994141,10.284424,-44.772339,51.983643,53.759766,3.796387,-35.775757
29.650879,21.942139,39.614868,-41.177368,-54.602051,18.994141,10.284424,-47.686768,51.983643,53.759766,3.796387,-38.909912
23.928833,20.236206,49.06311,-41.177368,-54.602051,16.387939,8.056641,-47.686768,51.937866,53.759766,3.796387,-38.909912
23.928833,20.236206,49.06311,-41.177368,-58.364868,16.387939,8.056641,-47.686768,51.937866,51.266479,0.915527,-38.909912
23.928833,20.236206,49.06311,-42.944336,-58.364868,16.387939,8.056641,-50.204468,51.937866,51.266479,0.915527,-42.391968
19.174194,18.319702,54.162598,-42.944336,-58.364868,13.809204,8.056641,-50.204468,51.229858,51.266479,0.915527,-42.391968
19.174194,18.319702,54.162598,-42.944336,-62.567139,13.809204,5.715942,-50.204468,51.229858,48.406982,-2.041626,-42.391968
19.174194,18.319702,54.162598,-42.944336,-62.567139,13.809204,5.715942,-52.542114,51.229858,48.406982,-2.041626,-45.834351
15.783691,16.159058,56.384277,-44.836426,-62.567139,11.31897,5.715942,-52.542114,51.229858,48.406982,-2.041626,-45.834351
15.783691,16.159058,56.384277,-44.836426,-62.567139,11.31897,3.012085,-52.542114,49.713135,45.098877,-5.13916,-45.834351
15.783691,16.159058,56.384277,-44.836426,-65.69519,11.31897,3.012085,-55.383301,49.713135,45.098877,-5.13916,-45.834351
13.909912,13.696289,56.384277,-47.283936,-65.69519,11.31897,3.012085,-55.383301,49.713135,45.098877,-5.13916,-48.654175
13.909912,13.696289,57.067871,-47.283936,-65.69519,8.892822,0.137329,-55.383301,47.564697,45.098877,-8.36792,-48.654175
13.909912,13.696289,57.067871,-47.283936,-65.466309,8.892822,0.137329,-59.091187,47.564697,41.430664,-8.36792,-48.654175
13.909912,13.696289,57.067871,-50.436401,-65.466309,8.892822,0.137329,-59.091187,47.564697,41.430664,-8.36792,-50.628662
13.525391,10.806274,57.095337,-50.436401,-65.466309,6.414795,-2.69165,-59.091187,44.775391,41.430664,-8.36792,-50.628662
13.525391,10.806274,57.095337,-50.436401,-59.829712,6.414795,-2.69165,-59.091187,44.775391,37.65564,-11.819458,-50.628662
13.525391,10.806274,57.095337,-53.95813,-59.829712,6.414795,-2.69165,-63.580322,44.775391,37.65564,-11.819458,-52.072144
14.294434,7.546997,56.726074,-53.95813,-59.829712,3.823853,-5.099487,-63.580322,41.442871,37.65564,-11.819458,-52.072144
14.294434,7.546997,56.726074,-53.95813,-47.891235,3.823853,-5.099487,-63.580322,41.442871,34.255981,-15.39917,-52.072144
14.294434,7.546997,56.726074,-56.723022,-47.891235,3.823853,-5.099487,-67.272949,41.442871,34.255981,-15.39917,-53.878784
15.673828,4.058838,55.932617,-56.723022,-47.891235,1.138306,-5.099487,-67.272949,37.493896,34.255981,-15.39917,-53.878784
15.673828,4.058838,55.932617,-56.723022,-30.584717,1.138306,-7.192993,-67.272949,37.493896,31.643677,-19.049072,-53.878784
15.673828,4.058838,55.932617,-56.723022,-30.584717,1.138306,-7.192993,-68.508911,37.493896,31.643677,-19.049072,-56.845093
16.973877,0.592041,54.58374,-57.125854,-30.584717,-1.519775,-7.192993,-68.508911,37.493896,31.643677,-19.049072,-56.845093
16.973877,0.592041,54.58374,-57.125854,-30.584717,-1.519775,-9.246826,-68.508911,33.187866,30.065918,-22.576904,-56.845093
16.973877,0.592041,54.58374,-57.125854,-10.385132,-1.519775,-9.246826,-65.509033,33.187866,30.065918,-22.576904,-56.845093
17.651367,-2.716064,54.58374,-53.579712,-10.385132,-1.519775,-9.246826,-65.509033,33.187866,30.065918,-22.576904,-60.974121
17.651367,-2.716064,52.655029,-53.579712,-10.385132,-4.086304,-11.755371,-65.509033,28.881836,30.065918,-26.043701,-60.974121
17.651367,-2.716064,52.655029,-53.579712,9.44519,-4.086304,-11.755371,-57.077026,28.881836,29.403687,-26.043701,-60.974121
17.651367,-2.716064,52.655029,-45.324707,9.44519,-4.086304,-11.755371,-57.077026,28.881836,29.403687,-26.043701,-64.901733
17.398071,-5.856323,50.140381,-45.324707,9.44519,-6.521606,-14.825439,-57.077026,25.22583,29.403687,-26.043701,-64.901733
17.398071,-5.856323,50.140381,-45.324707,26.147461,-6.521606,-14.825439,-57.077026,25.22583,29.321289,-29.489136,-64.901733
17.398071,-5.856323,50.140381,-32.748413,26.147461,-6.521606,-14.825439,-43.24646,25.22583,29.321289,-29.489136,-66.177368
16.278076,-9.008789,47.103882,-32.748413,26.147461,-8.978271,-18.289185,-43.24646,22.616577,29.321289,-29.489136,-66.177368
16.278076,-9.008789,47.103882,-32.748413,38.217163,-8.978271,-18.289185,-43.24646,22.616577,29.35791,-33.151245,-66.177368
16.278076,-9.008789,47.103882,-17.529297,38.217163,-8.978271,-18.289185,-25.741577,22.616577,29.35791,-33.151245,-62.10022
14.498901,-12.301636,43.554688,-17.529297,38.217163,-11.599731,-18.289185,-25.741577,21.295166,29.35791,-33.151245,-62.10022
14.498901,-12.301636,43.554688,-17.529297,45.706177,-11.599731,-21.459961,-25.741577,21.295166,29.23584,-37.04834,-62.10022
14.498901,-12.301636,43.554688,-17.529297,45.706177,-11.599731,-21.459961,-7.089233,21.295166,29.23584,-37.04834,-51.089478
12.338257,-15.811157,39.639282,-1.904297,45.706177,-11.599731,-21.459961,-7.089233,21.295166,29.23584,-37.04834,-51.089478
12.338257,-15.811157,39.639282,-1.904297,45.706177,-14.474487,-23.983765,-7.089233,20.880127,28.787231,-41.119385,-51.089478
12.338257,-15.811157,39.639282,-1.904297,49.728394,-14.474487,-23.983765,9.881592,20.880127,28.787231,-41.119385,-51.089478
9.875488,-19.369507,39.639282,11.953735,49.728394,-14.474487,-23.983765,9.881592,20.880127,28.787231,-41.119385,-33.505249
9.875488,-19.369507,35.604858,11.953735,49.728394,-17.492676,-25.820923,9.881592,20.922852,28.787231,-45.046997,-33.505249
9.875488,-19.369507,35.604858,11.953735,51.73645,-17.492676,-25.820923,23.361206,20.922852,28.048706,-45.046997,-33.505249
9.875488,-19.369507,35.604858,22.753906,51.73645,-17.492676,-25.820923,23.361206,20.922852,28.048706,-45.046997,-11.825562
7.107544,-22.769165,31.872559,22.753906,51.73645,-20.489502,-27.670288,23.361206,20.788574,28.048706,-45.046997,-11.825562
7.107544,-22.769165,31.872559,22.753906,52.801514,-20.489502,-27.670288,23.361206,20.788574,27.023315,-48.696899,-11.825562
7.107544,-22.769165,31.872559,30.245972,52.801514,-20.489502,-27.670288,32.608032,20.788574,27.023315,-48.696899,10.31189
3.979492,-25.863647,28.857422,30.245972,52.801514,-23.26355,-30.181885,32.608032,20.263672,27.023315,-48.696899,10.31189
3.979492,-25.863647,28.857422,30.245972,53.442383,-23.26355,-30.181885,32.608032,20.263672,25.698853,-52.035522,10.31189
3.979492,-25.863647,28.857422,35.113525,53.442383,-23.26355,-30.181885,38.22937,20.263672,25.698853,-52.035522,29.391479
0.570679,-28.744507,26.837158,35.113525,53.442383,-25.863647,-30.181885,38.22937,19.287109,25.698853,-52.035522,29.391479
0.570679,-28.744507,26.837158,35.113525,53.625488,-25.863647,-33.642578,38.22937,19.287109,23.986816,-55.465698,29.391479
0.570679,-28.744507,26.837158,35.113525,53.625488,-25.863647,-33.642578,41.326904,19.287109,23.986816,-55.465698,43.289185
-2.960205,-31.671143,25.772095,38.354492,53.625488,-28.445435,-33.642578,41.326904,19.287109,23.986816,-55.465698,43.289185
-2.960205,-31.671143,25.772095,38.354492,53.625488,-28.445435,-37.304688,41.326904,18.1427,21.868896,-59.255981,43.289185
