"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
67.971802,20.474243,10.153198,60.412598,-40.57312,-52.322388,-54.208374,60.891724,7.513428,43.408203,28.567505,-5.618286,4.974365,21.585083,-54.260254,37.902832,-61.032104,1.483154,-56.622314,-68.417358,44.628906,6.903076,29.876709,61.953735,11.065674,14.291382,-63.821411,-54.458618,49.200439,-51.779175,27.853394,31.253052,-19.293213,-43.252563,-41.247559,-53.97644,-19.598389,10.739136,-28.723145,52.468872,37.796021,40.563965,-2.944946,-35.943604,-48.242188,-20.794678,-7.427979,25.549316,-16.638184,-31.530762,-32.662964,-32.333374,-42.614746,6.317139,44.842529,17.391968,30.62439,4.391479,-9.753418,-10.873413,-33.410645,-8.544922,48.797607,29.40979,-44.677734,66.439819,4.574585,41.412354,35.021973,-61.901855,48.065186,-34.228516,8.053589,15.481567,10.220337,15.203857,15.484619,-52.44751,-7.345581,-17.959595,11.340332,-39.175415,-13.482666,39.39209,20.571899,-66.833496,30.718994,54.489136,29.632568,-46.749878,-21.966553,25.024414,-54.681396,25.262451,-27.865601,15.606689,-59.701538,-42.825317,8.572388,-40.066528
67.971802,20.474243,10.153198,55.941772,-40.57312,-56.216431,-56.185913,70.819092,7.513428,43.408203,28.567505,-9.240723,2.462769,21.585083,-54.260254,37.902832,-61.032104,-1.480103,-36.175537,-54.879761,44.628906,6.903076,29.876709,61.953735,11.065674,14.291382,-63.821411,-56.884766,49.200439,-51.779175,27.853394,31.253052,-19.293213,-43.252563,-41.247559,-53.97644,-19.598389,10.739136,-30.239868,52.468872,37.796021,40.563965,-2.944946,-38.479614,-51.992798,-20.794678,-7.427979,23.953247,-19.458008,-12.313843,-36.2854,-10.244751,-24.508667,6.317139,44.842529,17.391968,27.532959,4.391479,-12.835693,-14.407349,-33.410645,-11.056519,44.631958,29.40979,-44.677734,63.818359,4.574585,41.412354,32.003784,-61.901855,48.065186,-21.44165,14.831543,15.481567,10.220337,15.203857,15.484619,-37.939453,-7.345581,-17.959595,11.340332,-39.175415,-13.482666,39.39209,20.571899,-66.833496,29.653931,54.034424,43.341064,-49.273682,-21.966553,25.024414,-58.731079,24.038696,-27.865601,15.606689,-59.701538,-46.038818,8.572388,-40.066528
67.971802,44.7052,10.153198,55.941772,-40.57312,-56.216431,-56.185913,70.819092,7.513428,43.408203,28.567505,-9.240723,2.462769,18.82019,-55.996704,31.12793,-64.474487,-1.480103,-36.175537,-54.879761,46.392822,6.903076,29.876709,61.953735,7.830811,12.573242,-63.821411,-56.884766,46.322632,-54.385376,27.853394,31.253052,-19.293213,-47.143555,-26.174927,-53.97644,-19.598389,10.739136,-30.239868,52.468872,37.796021,40.563965,15.307617,-38.479614,-51.992798,-24.194336,-10.253906,23.953247,-19.458008,-12.313843,-36.2854,-10.244751,-24.508667,6.317139,44.842529,15.060425,27.532959,4.391479,-12.835693,-14.407349,-33.410645,-11.056519,44.631958,29.40979,-47.698975,63.818359,4.574585,43.017578,32.003784,-61.901855,46.77124,-21.44165,14.831543,21.038818,8.422852,13.043213,14.068604,-37.939453,-7.345581,-21.14563,25.384521,-42.63916,-16.821289,39.083862,20.571899,-66.833496,29.653931,54.034424,43.341064,-49.273682,-24.765015,21.99707,-58.731079,24.038696,-27.865601,15.606689,-62.127686,-46.038818,8.572388,-40.066528
62.252808,44.7052,10.153198,55.941772,-42.749023,-56.216431,-56.185913,70.819092,7.513428,38.220215,25.021362,-9.240723,2.462769,18.82019,-55.996704,31.12793,-64.474487,-1.480103,-36.175537,-54.879761,46.392822,3.985596,27.069092,60.806274,7.830811,12.573242,-51.184082,-56.884766,46.322632,-54.385376,39.68811,29.000854,-22.647095,-47.143555,-26.174927,-58.969116,-21.878052,8.468628,-30.239868,52.468872,33.868408,43.136597,15.307617,-38.479614,-51.992798,-24.194336,-10.253906,23.953247,-19.458008,-12.313843,-36.2854,-10.244751,-24.508667,6.317139,43.75,15.060425,27.532959,4.391479,-12.835693,-14.407349,-26.107788,-11.056519,44.631958,27.935791,-47.698975,63.818359,21.072388,43.017578,32.003784,-61.901855,46.77124,-21.44165,14.831543,21.038818,8.422852,13.043213,14.068604,-37.939453,-8.554077,-21.14563,25.384521,-42.63916,-16.821289,39.083862,19.012451,-61.752319,29.653931,54.034424,43.341064,-49.273682,-24.765015,21.99707,-58.731079,24.038696,-27.865601,15.606689,-62.127686,-46.038818,8.572388,-40.066528
62.252808,44.7052,10.736084,55.941772,-42.749023,-59.088135,-57.965088,74.661255,4.223633,38.220215,25.021362,-12.454224,-0.55542,18.82019,-55.996704,31.12793,-64.474487,-1.480103,-36.175537,-32.266235,46.392822,3.985596,27.069092,60.806274,7.830811,12.573242,-51.184082,-56.884766,46.322632,-54.385376,39.68811,29.000854,-22.647095,-47.143555,-26.174927,-58.969116,-21.878052,8.468628,-31.732178,53.90625,33.868408,43.136597,15.307617,-40.802002,-54.364014,-24.194336,-10.253906,23.953247,-21.871948,7.266235,-40.127563,12.097168,-3.512573,3.863525,43.75,15.060425,25.079346,1.266479,-16.021729,-17.834473,-26.107788,-13.638306,40.255737,27.935791,-47.698975,63.818359,21.072388,43.017578,29.226685,-65.432739,46.77124,-6.814575,18.783569,21.038818,8.422852,13.043213,14.068604,-37.939453,-8.554077,-21.14563,25.384521,-42.63916,-16.821289,39.083862,19.012451,-61.752319,28.579712,52.670288,51.934814,-53.033447,-24.765015,21.99707,-58.731079,22.442627,-31.124878,11.325073,-62.127686,-46.038818,6.454468,-43.054199
62.252808,44.7052,10.736084,50.662231,-42.749023,-59.088135,-57.965088,74.661255,4.223633,38.220215,25.021362,-12.454224,-0.55542,17.617798,-57.434082,24.462891,-63.818359,-4.351807,-9.768677,-32.266235,46.273804,3.985596,27.069092,60.806274,5.856323,10.549927,-51.184082,-60.015869,42.987061,-57.434082,39.68811,29.000854,-22.647095,-47.143555,-8.261108,-58.969116,-21.878052,8.468628,-31.732178,53.90625,33.868408,43.136597,30.456543,-40.802002,-54.364014,-27.984619,-12.884521,22.109985,-21.871948,7.266235,-40.127563,12.097168,-3.512573,3.863525,43.75,15.060425,25.079346,1.266479,-16.021729,-17.834473,-26.107788,-13.638306,40.255737,27.935791,-50.445557,60.101318,21.072388,43.984985,29.226685,-65.432739,45.147705,-6.814575,18.783569,23.239136,6.210327,10.568237,12.341309,-20.053101,-8.554077,-21.14563,25.384521,-46.14563,-20.446777,37.615967,19.012451,-61.752319,28.579712,52.670288,51.934814,-53.033447,-27.645874,20.089722,-63.43689,22.442627,-31.124878,11.325073,-63.754272,-48.513794,6.454468,-43.054199
55.786133,62.799072,10.736084,50.662231,-45.446777,-59.088135,-57.965088,74.661255,4.223633,38.220215,21.899414,-12.454224,-0.55542,17.617798,-57.434082,24.462891,-63.818359,-4.351807,-9.768677,-32.266235,46.273804,2.172852,24.990845,59.414673,5.856323,10.549927,-51.184082,-60.015869,42.987061,-57.434082,46.078491,26.922607,-25.759888,-50.634766,-8.261108,-58.969116,-24.169922,6.152344,-31.732178,53.90625,30.325317,44.232178,30.456543,-40.802002,-54.364014,-27.984619,-12.884521,22.109985,-21.871948,7.266235,-40.127563,12.097168,-3.512573,3.863525,43.75,12.631226,25.079346,1.266479,-16.021729,-17.834473,-15.362549,-13.638306,40.255737,26.05896,-50.445557,60.101318,33.209229,43.984985,29.226685,-65.432739,45.147705,-6.814575,18.783569,23.239136,6.210327,10.568237,12.341309,-20.053101,-9.643555,-24.691772,35.427856,-46.14563,-20.446777,37.615967,17.565918,-49.743652,28.579712,52.670288,51.934814,-53.033447,-27.645874,20.089722,-63.43689,22.442627,-31.124878,11.325073,-63.754272,-48.513794,6.454468,-43.054199
55.786133,62.799072,10.742188,50.662231,-45.446777,-61.00769,-60.26001,75.100708,1.116943,33.712769,21.899414,-15.371704,-4.043579,17.617798,-57.434082,24.462891,-63.818359,-4.351807,-9.768677,-32.266235,46.273804,2.172852,24.990845,59.414673,5.856323,10.549927,-32.772827,-60.015869,42.987061,-57.434082,46.078491,26.922607,-25.759888,-50.634766,-8.261108,-62.347412,-24.169922,6.152344,-33.837891,54.333496,30.325317,44.232178,30.456543,-42.596436,-53.631592,-27.984619,-12.884521,22.109985,-21.871948,24.560547,-43.875122,31.552124,17.010498,1.104736,42.29126,12.631226,23.495483,-1.992798,-16.021729,-21.005249,-15.362549,-13.638306,36.074829,26.05896,-50.445557,60.101318,33.209229,43.984985,26.901245,-68.804932,45.147705,-6.814575,21.191406,23.239136,6.210327,10.568237,12.341309,-20.053101,-9.643555,-24.691772,35.427856,-46.14563,-20.446777,37.615967,17.565918,-49.743652,28.579712,50.665283,56.399536,-57.617188,-27.645874,20.089722,-63.43689,20.733643,-34.594727,6.970215,-63.754272,-48.513794,4.202271,-46.166992
55.786133,62.799072,10.742188,44.485474,-45.446777,-61.00769,-60.26001,75.100708,1.116943,33.712769,21.899414,-15.371704,-4.043579,17.675781,-59.75647,18.444824,-56.085205,-7.327271,17.752075,-4.040527,45.553589,2.172852,24.990845,59.414673,5.856323,8.416748,-32.772827,-64.18457,39.361572,-61.523438,46.078491,26.922607,-25.759888,-50.634766,-8.261108,-62.347412,-24.169922,6.152344,-33.837891,54.333496,30.325317,44.232178,41.470337,-42.596436,-53.631592,-31.900024,-15.402222,20.214844,-23.703003,24.560547,-43.875122,31.552124,17.010498,1.104736,42.29126,12.631226,23.495483,-1.992798,-19.277954,-21.005249,-15.362549,-16.586304,36.074829,26.05896,-53.540039,55.618286,33.209229,44.296265,26.901245,-68.804932,43.179321,7.290649,21.191406,23.239136,3.747559,7.727051,10.348511,-1.809692,-9.643555,-24.691772,35.427856,-46.14563,-24.185181,35.067749,17.565918,-49.743652,27.423096,50.665283,56.399536,-57.617188,-30.862427,19.406128,-66.983032,20.733643,-34.594727,6.970215,-64.855957,-50.3479,4.202271,-46.166992
48.846436,73.904419,10.742188,44.485474,-48.483276,-61.00769,-60.26001,75.100708,1.116943,33.712769,21.899414,-15.371704,-4.043579,17.675781,-59.75647,18.444824,-56.085205,-7.327271,17.752075,-4.040527,45.553589,2.172852,24.990845,57.952881,5.075073,8.416748,-32.772827,-64.18457,39.361572,-61.523438,48.339844,25.43335,-28.890991,-53.466797,9.27124,-62.347412,-24.169922,3.710938,-33.837891,54.333496,30.325317,45.040894,41.470337,-42.596436,-53.631592,-31.900024,-15.402222,20.214844,-23.703003,24.560547,-43.875122,31.552124,17.010498,1.104736,42.29126,10.092163,23.495483,-1.992798,-19.277954,-21.005249,-15.362549,-16.586304,36.074829,26.05896,-53.540039,55.618286,41.061401,44.296265,26.901245,-68.804932,43.179321,7.290649,21.191406,23.052979,3.747559,7.727051,10.348511,-1.809692,-10.281372,-28.421021,41.766357,-49.136353,-24.185181,35.067749,17.565918,-31.512451,27.423096,50.665283,56.399536,-57.617188,-30.862427,19.406128,-66.983032,20.733643,-34.594727,6.970215,-64.855957,-50.3479,4.202271,-46.166992
